date,day_of_week,month,product_name,category,selling_price,stock_before_sale,payment_method,quantity_sold
2025-04-24,Thursday,4,Cold Drink,Beverage,40,57,UPI,15
2025-04-27,Sunday,4,Chips,Snacks,20,74,UPI,12
2025-02-05,Wednesday,2,Milk,Dairy,60,58,Cash,16
2025-10-02,Thursday,10,Rice,Grocery,70,36,Card,9
2025-10-25,Saturday,10,Milk,Dairy,60,79,UPI,21
2025-06-10,Tuesday,6,Biscuit,Snacks,25,70,Card,12
2025-10-23,Thursday,10,Maggi,Grocery,15,43,Cash,21
2025-10-03,Friday,10,Maggi,Grocery,15,68,UPI,21
2025-06-19,Thursday,6,Toothpaste,Personal Care,95,48,Cash,8
2025-06-03,Tuesday,6,Maggi,Grocery,15,59,Cash,20
2025-12-23,Tuesday,12,Milk,Dairy,60,71,UPI,16
2025-07-14,Monday,7,Rice,Grocery,70,65,Cash,6
2025-01-01,Wednesday,1,Rice,Grocery,70,45,UPI,7
2025-11-07,Friday,11,Chips,Snacks,20,63,UPI,15
2025-08-31,Sunday,8,Bread,Bakery,35,55,UPI,17
2025-06-21,Saturday,6,Shampoo,Personal Care,180,68,UPI,5
2025-03-17,Monday,3,Chips,Snacks,20,30,UPI,8
2025-02-07,Friday,2,Sugar,Grocery,45,55,Card,9
2025-12-23,Tuesday,12,Coffee,Beverage,180,57,UPI,12
2025-01-03,Friday,1,Toothpaste,Personal Care,95,73,UPI,4
2025-12-23,Tuesday,12,Bread,Bakery,35,66,UPI,17
2025-03-04,Tuesday,3,Bread,Bakery,35,44,Cash,16
2025-10-14,Tuesday,10,Toothpaste,Personal Care,95,70,Cash,11
2025-08-07,Thursday,8,Cold Drink,Beverage,40,58,Card,10
2025-09-01,Monday,9,Biscuit,Snacks,25,48,Cash,12
2025-05-22,Thursday,5,Chips,Snacks,20,63,Cash,12
2025-02-09,Sunday,2,Milk,Dairy,60,57,UPI,20
2025-02-11,Tuesday,2,Cold Drink,Beverage,40,36,UPI,7
2025-12-28,Sunday,12,Biscuit,Snacks,25,59,UPI,13
2025-08-01,Friday,8,Tea,Beverage,120,40,Cash,7
2025-10-27,Monday,10,Rice,Grocery,70,55,UPI,11
2025-06-02,Monday,6,Juice,Beverage,55,70,Cash,16
2025-11-05,Wednesday,11,Tea,Beverage,120,54,UPI,17
2025-06-22,Sunday,6,Maggi,Grocery,15,72,Card,23
2025-10-01,Wednesday,10,Butter,Dairy,55,66,Cash,9
2025-11-26,Wednesday,11,Maggi,Grocery,15,71,UPI,22
2025-06-17,Tuesday,6,Milk,Dairy,60,64,UPI,15
2025-07-14,Monday,7,Biscuit,Snacks,25,79,Card,11
2025-02-11,Tuesday,2,Rice,Grocery,70,29,Cash,8
2025-06-29,Sunday,6,Maggi,Grocery,15,89,Card,20
2025-01-16,Thursday,1,Maggi,Grocery,15,49,Cash,17
2025-05-03,Saturday,5,Soap,Personal Care,40,71,UPI,9
2025-08-27,Wednesday,8,Juice,Beverage,55,76,UPI,7
2025-02-28,Friday,2,Soap,Personal Care,40,42,UPI,3
2025-06-09,Monday,6,Maggi,Grocery,15,83,Card,20
2025-04-12,Saturday,4,Rice,Grocery,70,76,Cash,12
2025-12-23,Tuesday,12,Bread,Bakery,35,78,Cash,15
2025-10-17,Friday,10,Maggi,Grocery,15,74,UPI,20
2025-09-17,Wednesday,9,Rice,Grocery,70,27,Cash,7
2025-02-24,Monday,2,Chips,Snacks,20,54,Cash,11
2025-12-29,Monday,12,Chips,Snacks,20,56,UPI,9
2025-11-30,Sunday,11,Tea,Beverage,120,74,Cash,27
2025-06-15,Sunday,6,Soap,Personal Care,40,43,Card,6
2025-08-26,Tuesday,8,Bread,Bakery,35,76,Cash,17
2025-09-11,Thursday,9,Milk,Dairy,60,47,UPI,16
2025-05-13,Tuesday,5,Milk,Dairy,60,53,Card,16
2025-05-22,Thursday,5,Biscuit,Snacks,25,33,UPI,13
2025-05-04,Sunday,5,Bread,Bakery,35,77,Cash,22
2025-11-27,Thursday,11,Biscuit,Snacks,25,87,UPI,17
2025-07-27,Sunday,7,Milk,Dairy,60,82,Cash,20
2025-09-29,Monday,9,Sugar,Grocery,45,55,Card,8
2025-06-30,Monday,6,Tea,Beverage,120,47,UPI,10
2025-04-09,Wednesday,4,Bread,Bakery,35,42,Cash,15
2025-12-20,Saturday,12,Juice,Beverage,55,43,Cash,10
2025-10-29,Wednesday,10,Milk,Dairy,60,50,UPI,18
2025-06-04,Wednesday,6,Milk,Dairy,60,79,UPI,14
2025-01-28,Tuesday,1,Milk,Dairy,60,56,Cash,18
2025-09-09,Tuesday,9,Maggi,Grocery,15,36,Cash,16
2025-08-14,Thursday,8,Sugar,Grocery,45,39,Card,8
2025-09-02,Tuesday,9,Milk,Dairy,60,38,UPI,14
2025-11-19,Wednesday,11,Maggi,Grocery,15,48,Cash,19
2025-02-13,Thursday,2,Juice,Beverage,55,33,Cash,6
2025-11-02,Sunday,11,Rice,Grocery,70,63,UPI,19
2025-10-29,Wednesday,10,Sugar,Grocery,45,69,Cash,13
2025-02-20,Thursday,2,Soap,Personal Care,40,63,UPI,3
2025-03-22,Saturday,3,Toothpaste,Personal Care,95,64,UPI,9
2025-08-19,Tuesday,8,Maggi,Grocery,15,70,UPI,20
2025-12-28,Sunday,12,Bread,Bakery,35,45,Cash,21
2025-11-17,Monday,11,Juice,Beverage,55,38,UPI,11
2025-05-17,Saturday,5,Toothpaste,Personal Care,95,31,UPI,8
2025-10-19,Sunday,10,Milk,Dairy,60,73,Cash,24
2025-05-20,Tuesday,5,Biscuit,Snacks,25,67,UPI,13
2025-01-21,Tuesday,1,Maggi,Grocery,15,86,UPI,19
2025-02-16,Sunday,2,Bread,Bakery,35,78,Card,21
2025-12-11,Thursday,12,Butter,Dairy,55,62,UPI,6
2025-08-29,Friday,8,Biscuit,Snacks,25,74,UPI,13
2025-10-27,Monday,10,Milk,Dairy,60,47,UPI,22
2025-06-14,Saturday,6,Rice,Grocery,70,50,UPI,9
2025-12-06,Saturday,12,Tea,Beverage,120,69,UPI,20
2025-03-01,Saturday,3,Bread,Bakery,35,43,Cash,23
2025-07-31,Thursday,7,Tea,Beverage,120,39,UPI,7
2025-09-13,Saturday,9,Shampoo,Personal Care,180,40,UPI,7
2025-05-28,Wednesday,5,Maggi,Grocery,15,83,UPI,19
2025-11-19,Wednesday,11,Maggi,Grocery,15,59,Cash,20
2025-02-17,Monday,2,Tea,Beverage,120,35,UPI,8
2025-03-20,Thursday,3,Maggi,Grocery,15,84,UPI,19
2025-08-01,Friday,8,Biscuit,Snacks,25,62,UPI,12
2025-07-16,Wednesday,7,Tea,Beverage,120,66,UPI,8
2025-02-05,Wednesday,2,Cold Drink,Beverage,40,77,Cash,8
2025-09-17,Wednesday,9,Rice,Grocery,70,27,UPI,7
2025-10-28,Tuesday,10,Milk,Dairy,60,68,UPI,20
2025-10-10,Friday,10,Milk,Dairy,60,62,Card,22
2025-05-03,Saturday,5,Butter,Dairy,55,48,Card,14
2025-06-12,Thursday,6,Rice,Grocery,70,73,Card,8
2025-12-06,Saturday,12,Rice,Grocery,70,34,UPI,12
2025-06-19,Thursday,6,Butter,Dairy,55,52,UPI,4
2025-01-08,Wednesday,1,Cold Drink,Beverage,40,53,Card,7
2025-02-08,Saturday,2,Butter,Dairy,55,53,Cash,12
2025-02-11,Tuesday,2,Rice,Grocery,70,70,Card,7
2025-06-12,Thursday,6,Rice,Grocery,70,62,UPI,8
2025-11-20,Thursday,11,Maggi,Grocery,15,88,UPI,21
2025-11-21,Friday,11,Butter,Dairy,55,39,Cash,9
2025-01-24,Friday,1,Cold Drink,Beverage,40,78,UPI,8
2025-08-09,Saturday,8,Milk,Dairy,60,72,UPI,19
2025-04-03,Thursday,4,Toothpaste,Personal Care,95,36,UPI,5
2025-11-14,Friday,11,Cold Drink,Beverage,40,69,UPI,12
2025-05-11,Sunday,5,Sugar,Grocery,45,76,UPI,14
2025-05-28,Wednesday,5,Chips,Snacks,20,42,UPI,12
2025-10-28,Tuesday,10,Juice,Beverage,55,76,UPI,12
2025-04-12,Saturday,4,Chips,Snacks,20,43,UPI,17
2025-10-22,Wednesday,10,Coffee,Beverage,180,30,Card,9
2025-05-21,Wednesday,5,Toothpaste,Personal Care,95,60,Card,4
2025-01-26,Sunday,1,Chips,Snacks,20,56,Cash,18
2025-06-30,Monday,6,Bread,Bakery,35,74,UPI,14
2025-12-04,Thursday,12,Bread,Bakery,35,74,UPI,14
2025-01-21,Tuesday,1,Shampoo,Personal Care,180,73,UPI,3
2025-03-09,Sunday,3,Coffee,Beverage,180,48,Cash,8
2025-03-09,Sunday,3,Bread,Bakery,35,75,UPI,22
2025-03-26,Wednesday,3,Milk,Dairy,60,66,Card,16
2025-06-23,Monday,6,Milk,Dairy,60,63,Card,14
2025-04-26,Saturday,4,Bread,Bakery,35,66,UPI,23
2025-05-16,Friday,5,Rice,Grocery,70,36,UPI,9
2025-12-11,Thursday,12,Toothpaste,Personal Care,95,63,UPI,6
2025-07-10,Thursday,7,Shampoo,Personal Care,180,64,UPI,1
2025-10-15,Wednesday,10,Maggi,Grocery,15,58,Cash,24
2025-08-26,Tuesday,8,Shampoo,Personal Care,180,64,UPI,3
2025-01-20,Monday,1,Bread,Bakery,35,66,UPI,15
2025-10-03,Friday,10,Bread,Bakery,35,68,UPI,19
2025-12-23,Tuesday,12,Juice,Beverage,55,55,Cash,9
2025-08-01,Friday,8,Biscuit,Snacks,25,60,Cash,9
2025-05-24,Saturday,5,Juice,Beverage,55,53,UPI,20
2025-07-05,Saturday,7,Juice,Beverage,55,64,Card,10
2025-02-01,Saturday,2,Toothpaste,Personal Care,95,44,Card,12
2025-08-21,Thursday,8,Juice,Beverage,55,67,UPI,5
2025-01-11,Saturday,1,Shampoo,Personal Care,180,41,Card,6
2025-04-16,Wednesday,4,Chips,Snacks,20,76,Cash,8
2025-04-30,Wednesday,4,Coffee,Beverage,180,74,UPI,5
2025-01-02,Thursday,1,Cold Drink,Beverage,40,37,Card,8
2025-03-31,Monday,3,Tea,Beverage,120,69,Card,7
2025-07-03,Thursday,7,Maggi,Grocery,15,74,UPI,17
2025-01-27,Monday,1,Bread,Bakery,35,81,UPI,14
2025-02-02,Sunday,2,Maggi,Grocery,15,94,UPI,25
2025-08-20,Wednesday,8,Soap,Personal Care,40,40,Card,6
2025-12-04,Thursday,12,Maggi,Grocery,15,59,UPI,20
2025-02-01,Saturday,2,Butter,Dairy,55,60,Cash,13
2025-08-16,Saturday,8,Tea,Beverage,120,50,Cash,10
2025-05-21,Wednesday,5,Maggi,Grocery,15,80,Cash,20
2025-07-15,Tuesday,7,Biscuit,Snacks,25,66,UPI,13
2025-08-09,Saturday,8,Tea,Beverage,120,71,Cash,10
2025-04-21,Monday,4,Biscuit,Snacks,25,60,Card,12
2025-08-21,Thursday,8,Rice,Grocery,70,54,Cash,8
2025-06-10,Tuesday,6,Milk,Dairy,60,59,Card,16
2025-08-31,Sunday,8,Toothpaste,Personal Care,95,32,UPI,7
2025-07-10,Thursday,7,Maggi,Grocery,15,72,UPI,17
2025-10-15,Wednesday,10,Juice,Beverage,55,55,UPI,9
2025-08-05,Tuesday,8,Toothpaste,Personal Care,95,42,Cash,4
2025-10-23,Thursday,10,Milk,Dairy,60,80,UPI,18
2025-06-29,Sunday,6,Chips,Snacks,20,44,Cash,17
2025-08-08,Friday,8,Coffee,Beverage,180,76,Cash,7
2025-11-26,Wednesday,11,Soap,Personal Care,40,70,Cash,8
2025-04-03,Thursday,4,Milk,Dairy,60,80,Cash,16
2025-06-29,Sunday,6,Juice,Beverage,55,71,Cash,15
2025-11-21,Friday,11,Maggi,Grocery,15,85,UPI,18
2025-08-21,Thursday,8,Rice,Grocery,70,37,UPI,7
2025-10-18,Saturday,10,Biscuit,Snacks,25,47,UPI,18
2025-12-12,Friday,12,Soap,Personal Care,40,39,UPI,2
2025-11-07,Friday,11,Rice,Grocery,70,50,UPI,13
2025-06-26,Thursday,6,Tea,Beverage,120,37,UPI,10
2025-09-07,Sunday,9,Toothpaste,Personal Care,95,35,UPI,13
2025-01-29,Wednesday,1,Butter,Dairy,55,37,UPI,4
2025-03-12,Wednesday,3,Bread,Bakery,35,53,UPI,15
2025-08-09,Saturday,8,Maggi,Grocery,15,65,UPI,21
2025-10-14,Tuesday,10,Bread,Bakery,35,62,Card,17
2025-01-10,Friday,1,Maggi,Grocery,15,43,Card,19
2025-10-21,Tuesday,10,Coffee,Beverage,180,49,UPI,11
2025-06-16,Monday,6,Maggi,Grocery,15,76,UPI,17
2025-07-05,Saturday,7,Biscuit,Snacks,25,41,UPI,15
2025-09-26,Friday,9,Coffee,Beverage,180,48,Card,3
2025-04-24,Thursday,4,Biscuit,Snacks,25,80,UPI,11
2025-02-28,Friday,2,Tea,Beverage,120,63,UPI,11
2025-06-29,Sunday,6,Biscuit,Snacks,25,40,UPI,14
2025-11-05,Wednesday,11,Bread,Bakery,35,47,Card,16
2025-08-26,Tuesday,8,Shampoo,Personal Care,180,73,Cash,5
2025-10-17,Friday,10,Toothpaste,Personal Care,95,39,UPI,10
2025-11-20,Thursday,11,Sugar,Grocery,45,69,UPI,12
2025-06-08,Sunday,6,Tea,Beverage,120,38,UPI,16
2025-02-09,Sunday,2,Chips,Snacks,20,73,UPI,15
2025-10-11,Saturday,10,Sugar,Grocery,45,79,UPI,18
2025-09-14,Sunday,9,Soap,Personal Care,40,54,UPI,6
2025-06-25,Wednesday,6,Cold Drink,Beverage,40,68,Cash,16
2025-12-29,Monday,12,Maggi,Grocery,15,67,UPI,19
2025-07-06,Sunday,7,Soap,Personal Care,40,53,UPI,9
2025-11-03,Monday,11,Milk,Dairy,60,42,UPI,18
2025-07-17,Thursday,7,Coffee,Beverage,180,41,Cash,5
2025-11-05,Wednesday,11,Toothpaste,Personal Care,95,34,Cash,9
2025-06-29,Sunday,6,Bread,Bakery,35,49,Cash,21
2025-06-08,Sunday,6,Juice,Beverage,55,50,Cash,22
2025-12-17,Wednesday,12,Chips,Snacks,20,37,Cash,12
2025-07-05,Saturday,7,Rice,Grocery,70,49,UPI,10
2025-09-06,Saturday,9,Bread,Bakery,35,46,UPI,18
2025-02-21,Friday,2,Milk,Dairy,60,87,UPI,18
2025-09-27,Saturday,9,Biscuit,Snacks,25,83,Cash,14
2025-03-20,Thursday,3,Soap,Personal Care,40,34,Cash,3
2025-03-26,Wednesday,3,Biscuit,Snacks,25,34,UPI,12
2025-05-02,Friday,5,Toothpaste,Personal Care,95,66,UPI,7
2025-08-18,Monday,8,Biscuit,Snacks,25,64,UPI,10
2025-08-29,Friday,8,Butter,Dairy,55,48,Cash,5
2025-08-14,Thursday,8,Coffee,Beverage,180,75,UPI,6
2025-09-28,Sunday,9,Rice,Grocery,70,44,Cash,12
2025-05-09,Friday,5,Bread,Bakery,35,74,UPI,13
2025-02-22,Saturday,2,Rice,Grocery,70,50,UPI,12
2025-08-19,Tuesday,8,Bread,Bakery,35,46,Cash,17
2025-04-24,Thursday,4,Maggi,Grocery,15,61,Card,19
2025-07-22,Tuesday,7,Rice,Grocery,70,52,UPI,9
2025-07-11,Friday,7,Butter,Dairy,55,26,UPI,5
2025-11-29,Saturday,11,Maggi,Grocery,15,47,UPI,25
2025-12-23,Tuesday,12,Chips,Snacks,20,77,Cash,9
2025-01-03,Friday,1,Sugar,Grocery,45,27,UPI,6
2025-10-08,Wednesday,10,Chips,Snacks,20,82,UPI,13
2025-01-25,Saturday,1,Milk,Dairy,60,81,Cash,21
2025-02-26,Wednesday,2,Sugar,Grocery,45,67,UPI,9
2025-10-22,Wednesday,10,Shampoo,Personal Care,180,43,UPI,5
2025-05-04,Sunday,5,Soap,Personal Care,40,43,Cash,12
2025-07-04,Friday,7,Maggi,Grocery,15,69,UPI,16
2025-09-17,Wednesday,9,Chips,Snacks,20,33,UPI,12
2025-11-22,Saturday,11,Sugar,Grocery,45,85,UPI,18
2025-06-26,Thursday,6,Chips,Snacks,20,75,Cash,9
2025-10-25,Saturday,10,Maggi,Grocery,15,66,UPI,24
2025-03-31,Monday,3,Chips,Snacks,20,75,UPI,11
2025-03-11,Tuesday,3,Bread,Bakery,35,78,Cash,13
2025-05-31,Saturday,5,Sugar,Grocery,45,80,UPI,10
2025-06-08,Sunday,6,Maggi,Grocery,15,80,UPI,26
2025-11-28,Friday,11,Maggi,Grocery,15,63,Card,21
2025-12-02,Tuesday,12,Maggi,Grocery,15,55,UPI,18
2025-07-24,Thursday,7,Milk,Dairy,60,61,UPI,17
2025-12-21,Sunday,12,Bread,Bakery,35,74,UPI,21
2025-08-06,Wednesday,8,Maggi,Grocery,15,63,Cash,16
2025-10-07,Tuesday,10,Chips,Snacks,20,40,UPI,14
2025-06-06,Friday,6,Toothpaste,Personal Care,95,65,Cash,7
2025-08-16,Saturday,8,Bread,Bakery,35,43,Cash,21
2025-11-11,Tuesday,11,Cold Drink,Beverage,40,73,Card,13
2025-02-08,Saturday,2,Juice,Beverage,55,65,Cash,13
2025-01-16,Thursday,1,Toothpaste,Personal Care,95,63,Cash,5
2025-03-06,Thursday,3,Sugar,Grocery,45,41,Cash,6
2025-07-16,Wednesday,7,Milk,Dairy,60,40,Cash,18
2025-07-09,Wednesday,7,Toothpaste,Personal Care,95,54,Cash,6
2025-09-29,Monday,9,Coffee,Beverage,180,50,UPI,5
2025-02-28,Friday,2,Milk,Dairy,60,81,UPI,14
2025-10-15,Wednesday,10,Tea,Beverage,120,80,UPI,11
2025-11-10,Monday,11,Sugar,Grocery,45,45,UPI,13
2025-08-20,Wednesday,8,Chips,Snacks,20,74,UPI,9
2025-12-16,Tuesday,12,Maggi,Grocery,15,80,UPI,18
2025-10-05,Sunday,10,Maggi,Grocery,15,91,Cash,26
2025-03-31,Monday,3,Biscuit,Snacks,25,63,UPI,11
2025-03-13,Thursday,3,Butter,Dairy,55,75,UPI,5
2025-10-21,Tuesday,10,Milk,Dairy,60,76,UPI,21
2025-02-03,Monday,2,Cold Drink,Beverage,40,53,Card,8
2025-09-27,Saturday,9,Biscuit,Snacks,25,74,UPI,18
2025-11-25,Tuesday,11,Butter,Dairy,55,58,Cash,9
2025-10-10,Friday,10,Milk,Dairy,60,65,UPI,18
2025-03-05,Wednesday,3,Cold Drink,Beverage,40,39,UPI,10
2025-12-30,Tuesday,12,Bread,Bakery,35,56,Card,14
2025-05-26,Monday,5,Tea,Beverage,120,43,UPI,7
2025-05-21,Wednesday,5,Juice,Beverage,55,72,UPI,13
2025-03-28,Friday,3,Tea,Beverage,120,68,UPI,11
2025-11-06,Thursday,11,Toothpaste,Personal Care,95,34,Cash,12
2025-01-24,Friday,1,Maggi,Grocery,15,56,Cash,20
2025-08-02,Saturday,8,Biscuit,Snacks,25,67,Card,16
2025-11-25,Tuesday,11,Tea,Beverage,120,81,UPI,18
2025-12-19,Friday,12,Sugar,Grocery,45,36,UPI,6
2025-04-15,Tuesday,4,Sugar,Grocery,45,66,UPI,8
2025-06-13,Friday,6,Cold Drink,Beverage,40,63,UPI,18
2025-10-15,Wednesday,10,Rice,Grocery,70,44,UPI,9
2025-05-07,Wednesday,5,Milk,Dairy,60,41,UPI,15
2025-11-12,Wednesday,11,Juice,Beverage,55,41,Cash,11
2025-06-10,Tuesday,6,Juice,Beverage,55,63,Card,12
2025-06-07,Saturday,6,Sugar,Grocery,45,37,Card,12
2025-05-04,Sunday,5,Tea,Beverage,120,57,UPI,15
2025-11-02,Sunday,11,Milk,Dairy,60,48,Cash,28
2025-05-16,Friday,5,Sugar,Grocery,45,76,UPI,8
2025-01-27,Monday,1,Maggi,Grocery,15,75,UPI,20
2025-02-07,Friday,2,Tea,Beverage,120,62,UPI,10
2025-11-16,Sunday,11,Tea,Beverage,120,65,UPI,20
2025-10-13,Monday,10,Butter,Dairy,55,41,Cash,9
2025-01-21,Tuesday,1,Rice,Grocery,70,27,UPI,5
2025-08-31,Sunday,8,Milk,Dairy,60,53,Cash,24
2025-06-17,Tuesday,6,Tea,Beverage,120,51,UPI,11
2025-06-03,Tuesday,6,Butter,Dairy,55,49,UPI,8
2025-09-08,Monday,9,Tea,Beverage,120,50,UPI,11
2025-06-19,Thursday,6,Maggi,Grocery,15,62,Cash,16
2025-12-19,Friday,12,Chips,Snacks,20,66,UPI,8
2025-10-24,Friday,10,Butter,Dairy,55,64,UPI,7
2025-11-14,Friday,11,Tea,Beverage,120,39,Cash,17
2025-04-08,Tuesday,4,Biscuit,Snacks,25,57,UPI,9
2025-12-20,Saturday,12,Bread,Bakery,35,72,Cash,20
2025-02-01,Saturday,2,Juice,Beverage,55,46,Cash,13
2025-09-02,Tuesday,9,Butter,Dairy,55,52,UPI,8
2025-09-30,Tuesday,9,Bread,Bakery,35,69,UPI,15
2025-12-15,Monday,12,Biscuit,Snacks,25,70,UPI,11
2025-05-23,Friday,5,Juice,Beverage,55,50,Card,16
2025-05-28,Wednesday,5,Butter,Dairy,55,69,Cash,5
2025-06-28,Saturday,6,Milk,Dairy,60,61,UPI,23
2025-07-14,Monday,7,Toothpaste,Personal Care,95,49,Card,7
2025-05-29,Thursday,5,Chips,Snacks,20,46,Card,8
2025-08-15,Friday,8,Maggi,Grocery,15,85,UPI,18
2025-10-03,Friday,10,Bread,Bakery,35,85,UPI,21
2025-10-28,Tuesday,10,Maggi,Grocery,15,43,Cash,20
2025-11-23,Sunday,11,Tea,Beverage,120,60,Cash,19
2025-03-12,Wednesday,3,Maggi,Grocery,15,71,Card,16
2025-12-01,Monday,12,Bread,Bakery,35,66,Cash,16
2025-05-28,Wednesday,5,Biscuit,Snacks,25,49,Cash,11
2025-02-15,Saturday,2,Cold Drink,Beverage,40,68,Cash,14
2025-01-20,Monday,1,Chips,Snacks,20,55,Card,9
2025-01-19,Sunday,1,Bread,Bakery,35,53,Card,22
2025-05-29,Thursday,5,Butter,Dairy,55,24,UPI,4
2025-06-21,Saturday,6,Soap,Personal Care,40,71,UPI,10
2025-03-10,Monday,3,Tea,Beverage,120,60,UPI,11
2025-06-19,Thursday,6,Chips,Snacks,20,75,UPI,9
2025-04-06,Sunday,4,Milk,Dairy,60,89,UPI,19
2025-04-09,Wednesday,4,Toothpaste,Personal Care,95,64,Card,5
2025-08-07,Thursday,8,Cold Drink,Beverage,40,50,UPI,10
2025-04-05,Saturday,4,Toothpaste,Personal Care,95,51,Card,11
2025-07-16,Wednesday,7,Maggi,Grocery,15,65,Cash,17
2025-06-04,Wednesday,6,Juice,Beverage,55,38,UPI,18
2025-05-01,Thursday,5,Milk,Dairy,60,76,UPI,14
2025-07-27,Sunday,7,Milk,Dairy,60,87,UPI,23
2025-06-01,Sunday,6,Juice,Beverage,55,54,Card,20
2025-08-21,Thursday,8,Sugar,Grocery,45,53,UPI,10
2025-08-30,Saturday,8,Tea,Beverage,120,83,UPI,15
